year,crop,region,sort,area,production,kg/10a,areaLQ,productionLQ
2000,마늘,평창읍,조미채류,1.1,7.7,700,1.289200976,2.991143082
2000,메밀,대관령면,잡곡,0,0,0,0,0
2000,메밀,대화면,잡곡,2.5,2.2,88,0.824334076,0.87419164
2000,메밀,미탄면,잡곡,0.1,0.1,80,0.050179007,0.068794368
2000,메밀,방림면,잡곡,0,0,0,0,0
2000,메밀,봉평면,잡곡,14.3,11.5,80.3,5.455348366,4.665907879
2000,메밀,용평면,잡곡,0.7,1.5,88.2,0.28688586,0.627678606
2000,메밀,진부면,잡곡,4.5,4.1,91.1,0.933198883,0.807972945
2000,메밀,평창읍,잡곡,1.6,1.3,79.8,0.553856959,1.195406326
2000,무,대관령면,근채류,108,2807,2599.1,0.959818592,0.656817345
2000,무,대화면,근채류,132,4097,3103.8,1.172203056,1.174476467
2000,무,미탄면,근채류,113,4478,3962.8,1.527095448,2.222446735
2000,무,방림면,근채류,268,9792,3653.7,2.513354829,2.685737694
2000,무,봉평면,근채류,66,1853,2807.6,0.678103617,0.542385569
2000,무,용평면,근채류,51,1418,2780.4,0.562920356,0.428071865
2000,무,진부면,근채류,93,2489,2676.3,0.519410015,0.353860629
2000,무,평창읍,근채류,49,1759,3589.8,0.456813982,1.166896733
2000,배,대관령면,과실류,0,0,0,0,0
2000,배,대화면,과실류,0,0,0,0,0
2000,배,미탄면,과실류,3,37.5,1250,9.642506537,10.491479
2000,배,방림면,과실류,0,0,0,0,0
2000,배,봉평면,과실류,0,0,0,0,0
2000,배,용평면,과실류,0,0,0,0,0
2000,배,진부면,과실류,0,0,0,0,0
2000,배,평창읍,과실류,0.7,13.4,1914.3,1.552109283,5.011059495
2000,배추,대관령면,엽채류,375,14181,3781.6,1.078624138,0.857907165
2000,배추,대화면,엽채류,462,19544,4230.3,1.327835753,1.448515167
2000,배추,미탄면,엽채류,335,14595,4356.7,1.465230704,1.872762089
2000,배추,방림면,엽채류,500,21533,4306.6,1.51761804,1.526961081
2000,배추,봉평면,엽채류,287,11266,3925.4,0.95434958,0.852577155
2000,배추,용평면,엽채류,243,9432,3881.5,0.868073534,0.73616554
2000,배추,진부면,엽채류,329,12432,3778.7,0.594698349,0.456961476
2000,배추,평창읍,엽채류,188,7997,4253.7,0.567250153,1.371591922
2000,복숭아,대관령면,과실류,0,0,0,0,0
2000,복숭아,대화면,과실류,0,0,0,0,0
2000,복숭아,미탄면,과실류,0.2,0,0,2.642761051,0
2000,복숭아,방림면,과실류,0,0,0,0,0
2000,복숭아,봉평면,과실류,0,0,0,0,0
2000,복숭아,용평면,과실류,0,0,0,0,0
2000,복숭아,진부면,과실류,0,0,0,0,0
2000,복숭아,평창읍,과실류,0.7,4.2,600,6.380893718,19.03454689
2000,사과,대관령면,과실류,0,0,0,0,0
2000,사과,대화면,과실류,0,0,0,0,0
2000,사과,미탄면,과실류,0,0,0,0,0
2000,사과,방림면,과실류,0,0,0,0,0
2000,사과,봉평면,과실류,0,0,0,0,0
2000,사과,용평면,과실류,0,0,0,0,0
2000,사과,진부면,과실류,0,0,0,0,0
2000,사과,평창읍,과실류,2.6,47,1807.7,8.204006209,19.03454689
2000,상추,대관령면,엽채류,190.3,5043,2650,5.25525282,4.511452926
2000,상추,대화면,엽채류,5.9,156.5,2652.5,0.16280598,0.17152126
